id,data,dia_semana,horario,uf,br,km,municipio,CAUSA_ACIDENTE,TIPO_ACIDENTE,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
575135,16/01/2024,terça-feira,30/12/1899,PB,230,26,JOAO PESSOA,Velocidade Incompatível,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,2,0,1,0,1,0,1,2,-71693,-348782,SPRF-PB,DEL01-PB,UOP01-DEL01-PB
575159,16/01/2024,terça-feira,30/12/1899,PB,230,360,MALTA,Transitar na contramão,Colisão frontal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Declive,Não,3,0,2,0,1,0,2,2,-69172,-374635,SPRF-PB,DEL03-PB,UOP02-DEL03-PB
575222,17/01/2024,quarta-feira,30/12/1899,PB,101,"86,2",JOAO PESSOA,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Curva,Sim,3,0,1,0,1,1,1,3,-715118983,-3491012184,SPRF-PB,DEL01-PB,UOP01-DEL01-PB
576175,21/01/2024,domingo,30/12/1899,PB,230,"27,9",JOAO PESSOA,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Curva,Sim,3,0,1,0,1,1,1,3,-7165318,-34898401,SPRF-PB,DEL01-PB,UOP01-DEL01-PB
576677,23/01/2024,terça-feira,30/12/1899,PB,104,97,ESPERANCA,Velocidade Incompatível,Colisão lateral sentido oposto,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Sim,2,0,0,1,1,0,1,2,-701994564,-3585788662,SPRF-PB,DEL02-PB,UOP04-DEL02-PB
576685,23/01/2024,terça-feira,30/12/1899,PB,101,"89,9",JOAO PESSOA,Manobra de mudança de faixa,Colisão transversal,Com Vítimas Feridas,Anoitecer,Crescente,Céu Claro,Dupla,Retorno Regulamentado;Reta,Sim,2,0,1,0,1,0,1,2,-717816256,-3489989162,SPRF-PB,DEL01-PB,UOP02-DEL01-PB
576758,24/01/2024,quarta-feira,30/12/1899,PB,101,95,CONDE,Demais falhas mecânicas ou elétricas,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Não,1,0,1,0,0,0,1,1,-722379403,-3491488195,SPRF-PB,DEL01-PB,UOP02-DEL01-PB
576762,24/01/2024,quarta-feira,30/12/1899,PB,101,88,JOAO PESSOA,Acessar a via sem observar a presença dos outros veículos,Colisão lateral mesmo sentido,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Dupla,Curva;Interseção de Vias,Sim,3,0,0,0,3,0,0,2,-71710694,-3489765372,SPRF-PB,DEL01-PB,UOP01-DEL01-PB
577117,05/01/2024,sexta-feira,30/12/1899,PB,104,"182,3",ALCANTIL,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Fatais,Pleno dia,Crescente,Céu Claro,Simples,Interseção de Vias;Aclive,Não,4,1,0,1,1,2,1,4,-767735252,-3606914717,SPRF-PB,DEL02-PB,UOP03-DEL02-PB
577144,26/01/2024,sexta-feira,30/12/1899,PB,101,124,CAAPORA,Transitar no Acostamento,Colisão traseira,Com Vítimas Fatais,Pleno dia,Crescente,Céu Claro,Dupla,Aclive;Curva,Não,3,1,0,0,1,2,0,4,-746746892,-349772648,SPRF-PB,DEL01-PB,UOP02-DEL01-PB
577435,27/01/2024,sábado,30/12/1899,PB,101,94,CONDE,Ausência de reação do condutor,Colisão com objeto,Sem Vítimas,Plena Noite,Decrescente,Céu Claro,Dupla,Declive,Sim,4,0,0,0,4,0,0,2,-721483297,-349117521,SPRF-PB,DEL01-PB,UOP02-DEL01-PB
577574,28/01/2024,domingo,30/12/1899,PB,230,"90,6",GURINHEM,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Dupla,Reta;Declive,Não,2,0,0,2,0,0,2,1,-717772679,-3541638851,SPRF-PB,DEL01-PB,UOP03-DEL01-PB
577874,29/01/2024,segunda-feira,30/12/1899,PB,230,"59,3",CRUZ DO ESPIRITO SANTO,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Não,5,0,0,2,2,3,2,5,-72043,-351305,SPRF-PB,DEL01-PB,UOP03-DEL01-PB
577907,29/01/2024,segunda-feira,30/12/1899,PB,101,88,JOAO PESSOA,Acessar a via sem observar a presença dos outros veículos,Colisão lateral mesmo sentido,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Curva,Sim,4,0,2,0,1,1,2,3,-716881637,-3489706993,SPRF-PB,DEL01-PB,UOP01-DEL01-PB
577960,30/01/2024,terça-feira,30/12/1899,PB,230,282,SANTA LUZIA,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Simples,Reta,Não,10,0,3,0,5,2,3,6,-69203,-368532,SPRF-PB,DEL03-PB,UOP01-DEL03-PB
578946,04/02/2024,domingo,30/12/1899,PB,116,"12,1",CACHOEIRA DOS INDIOS,Ultrapassagem Indevida,Saída de leito carroçável,Sem Vítimas,Pleno dia,Crescente,Sol,Simples,Reta;Aclive,Não,3,0,0,0,1,2,0,3,-6993578,-38746815,SPRF-CE,DEL05-CE,UOP03-DEL05-CE
579139,03/02/2024,sábado,30/12/1899,PB,230,"151,1",CAMPINA GRANDE,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Sim,3,0,0,1,1,1,1,3,-72587,-358778,SPRF-PB,DEL02-PB,UOP01-DEL02-PB
579365,06/02/2024,terça-feira,30/12/1899,PB,104,130,CAMPINA GRANDE,Transitar na contramão,Colisão lateral sentido oposto,Sem Vítimas,Pleno dia,Crescente,Sol,Simples,Reta,Sim,2,0,0,0,2,0,0,2,-729013399,-3589029705,SPRF-PB,DEL02-PB,UOP01-DEL02-PB
579809,08/02/2024,quinta-feira,30/12/1899,PB,104,"55,6",BARRA DE SANTA ROSA,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Aclive,Não,2,0,1,0,1,0,1,2,-678424966,-3598358004,SPRF-PB,DEL02-PB,UOP04-DEL02-PB
580071,09/02/2024,sexta-feira,30/12/1899,PB,0,0,SANTA RITA,Acesso irregular,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Não Informado,Céu Claro,Simples,Ponte;Curva,Não,2,0,1,0,0,2,1,3,-711158168,-3496210098,SPRF-PB,DEL01-PB,UOP04-DEL01-PB
581293,15/02/2024,quinta-feira,30/12/1899,PB,101,"119,3",CAAPORA,Demais falhas mecânicas ou elétricas,Colisão com objeto,Sem Vítimas,Pleno dia,Decrescente,Nublado,Dupla,Desvio Temporário;Aclive;Reta,Não,2,0,0,0,1,1,0,2,-743090049,-3496810913,SPRF-PB,DEL01-PB,UOP02-DEL01-PB
581653,17/02/2024,sábado,30/12/1899,PB,230,"354,6",PATOS,Acesso irregular,Colisão traseira,Com Vítimas Fatais,Pleno dia,Crescente,Sol,Simples,Declive;Reta,Não,3,1,0,1,1,0,1,2,-69338,-374135,SPRF-PB,DEL03-PB,UOP02-DEL03-PB
581948,18/02/2024,domingo,30/12/1899,PB,230,426,POMBAL,Acumulo de água sobre o pavimento,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Simples,Reta,Não,1,0,1,0,0,0,1,1,-67336,-379059,SPRF-PB,DEL03-PB,UOP02-DEL03-PB
582031,19/02/2024,segunda-feira,30/12/1899,PB,101,"119,4",CAAPORA,Carga excessiva e/ou mal acondicionada,Colisão com objeto,Sem Vítimas,Pleno dia,Decrescente,Sol,Dupla,Curva;Aclive,Não,2,0,0,0,1,1,0,2,-742897814,-3496672977,SPRF-PB,DEL01-PB,UOP02-DEL01-PB
582324,20/02/2024,terça-feira,30/12/1899,PB,230,"18,5",JOAO PESSOA,Reação tardia ou ineficiente do condutor,Colisão com objeto,Sem Vítimas,Plena Noite,Crescente,Chuva,Dupla,Reta,Sim,2,0,0,0,2,0,0,2,-71198,-348453,SPRF-PB,DEL01-PB,UOP01-DEL01-PB
582441,21/02/2024,quarta-feira,30/12/1899,PB,230,"288,4",SANTA LUZIA,Condutor deixou de manter distância do veículo da frente,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta;Aclive,Não,2,0,1,0,1,0,1,1,-68871,-36894,SPRF-PB,DEL03-PB,UOP01-DEL03-PB
582516,22/02/2024,quinta-feira,30/12/1899,PB,230,"144,9",CAMPINA GRANDE,Ingestão de álcool pelo condutor,Colisão lateral mesmo sentido,Sem Vítimas,Amanhecer,Crescente,Céu Claro,Dupla,Reta,Sim,2,0,0,0,2,0,0,2,-72512,-358399,SPRF-PB,DEL02-PB,UOP01-DEL02-PB
582716,23/02/2024,sexta-feira,30/12/1899,PB,230,332,PATOS,Ausência de reação do condutor,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,3,0,0,1,2,0,1,2,-70203,-372403,SPRF-PB,DEL03-PB,UOP01-DEL03-PB
582864,23/02/2024,sexta-feira,30/12/1899,PB,116,11,CACHOEIRA DOS INDIOS,Acumulo de água sobre o pavimento,Colisão lateral sentido oposto,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Simples,Curva,Não,3,0,1,1,0,2,2,4,-6985178,-38744354,SPRF-CE,DEL05-CE,UOP03-DEL05-CE
582932,24/02/2024,sábado,30/12/1899,PB,101,"85,2",BAYEUX,Ausência de reação do condutor,Colisão com objeto,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,1,0,0,0,1,0,0,1,-714538184,-3491662887,SPRF-PB,DEL01-PB,UOP01-DEL01-PB
583365,26/02/2024,segunda-feira,30/12/1899,PB,104,"147,1",QUEIMADAS,Deficiência do Sistema de Iluminação/Sinalização,Colisão traseira,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,4,0,1,2,1,0,3,3,-7439395,-35901844,SPRF-PB,DEL02-PB,UOP03-DEL02-PB
583513,26/02/2024,segunda-feira,30/12/1899,PB,101,86,BAYEUX,Reação tardia ou ineficiente do condutor,Engavetamento,Sem Vítimas,Plena Noite,Decrescente,Nublado,Dupla,Reta,Sim,5,0,0,0,4,1,0,5,-715118983,-3491012184,SPRF-PB,DEL01-PB,UOP01-DEL01-PB
583620,27/02/2024,terça-feira,30/12/1899,PB,101,"84,9",BAYEUX,Reação tardia ou ineficiente do condutor,Engavetamento,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Reta,Sim,6,0,2,0,3,1,2,5,-713957906,-3492312806,SPRF-PB,DEL01-PB,UOP01-DEL01-PB
583650,27/02/2024,terça-feira,30/12/1899,PB,101,122,CAAPORA,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Aclive;Reta,Não,6,0,2,1,2,1,3,3,-745038197,-3497994215,SPRF-PB,DEL01-PB,UOP02-DEL01-PB
583902,28/02/2024,quarta-feira,30/12/1899,PB,230,26,JOAO PESSOA,Pedestre andava na pista,Atropelamento de Pedestre,Com Vítimas Fatais,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,Sim,8,1,0,0,6,1,0,4,-7165559,-34888908,SPRF-PB,DEL01-PB,UOP01-DEL01-PB
584593,02/03/2024,sábado,30/12/1899,PB,230,15,JOAO PESSOA,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Dupla,Curva;Declive,Sim,2,0,1,0,1,0,1,2,-7093,-348482,SPRF-PB,DEL01-PB,UOP01-DEL01-PB
584927,04/03/2024,segunda-feira,30/12/1899,PB,230,22,JOAO PESSOA,Trafegar com motocicleta (ou similar) entre as faixas,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,2,0,1,0,1,0,1,2,-71495,-348517,SPRF-PB,DEL01-PB,UOP01-DEL01-PB
585083,05/03/2024,terça-feira,30/12/1899,PB,230,427,POMBAL,Demais falhas mecânicas ou elétricas,Tombamento,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Reta,Não,2,0,1,0,0,2,1,3,-67349,-37916,SPRF-PB,DEL03-PB,UOP02-DEL03-PB
585339,06/03/2024,quarta-feira,30/12/1899,PB,101,"121,5",CAAPORA,Manobra de mudança de faixa,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Não,4,0,1,0,2,1,1,4,-744160988,-3497799652,SPRF-PB,DEL01-PB,UOP02-DEL01-PB
585572,07/03/2024,quinta-feira,30/12/1899,PB,110,69,SAO JOSE DE ESPINHARAS,Condutor Dormindo,Colisão com objeto,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Simples,Curva,Não,1,0,0,1,0,0,1,1,-68721941,-3741186648,SPRF-PB,DEL03-PB,UOP01-DEL03-PB
585654,07/03/2024,quinta-feira,30/12/1899,PB,230,"133,4",CAMPINA GRANDE,Condutor Dormindo,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Curva,Não,2,0,1,0,1,0,1,2,-72767,-357464,SPRF-PB,DEL02-PB,UOP01-DEL02-PB
586007,09/03/2024,sábado,30/12/1899,PB,101,"10,6",MAMANGUAPE,Transtornos Mentais (exceto suicidio),Queda de ocupante de veículo,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Dupla,Aclive,Não,2,0,0,1,1,0,1,1,-6583587,-35144005,SPRF-PB,DEL01-PB,UOP04-DEL01-PB
586441,10/03/2024,domingo,30/12/1899,PB,412,20,BOA VISTA,Ultrapassagem Indevida,Colisão lateral sentido oposto,Sem Vítimas,Plena Noite,Decrescente,Céu Claro,Simples,Reta,Não,2,0,0,0,1,1,0,2,-726591,-36239204,SPRF-PB,DEL02-PB,UOP02-DEL02-PB
587027,13/03/2024,quarta-feira,30/12/1899,PB,230,"112,9",INGA,Pista Escorregadia,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Curva,Não,2,0,1,0,0,1,1,2,-72117,-355822,SPRF-PB,DEL01-PB,UOP03-DEL01-PB
587089,13/03/2024,quarta-feira,30/12/1899,PB,230,"124,3",RIACHAO DO BACAMARTE,Condutor Dormindo,Colisão traseira,Sem Vítimas,Plena Noite,Crescente,Chuva,Dupla,Aclive;Reta,Não,3,0,0,0,2,1,0,3,-725038,-35683654,SPRF-PB,DEL02-PB,UOP01-DEL02-PB
587156,14/03/2024,quinta-feira,30/12/1899,PB,230,"147,5",CAMPINA GRANDE,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Fatais,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,3,1,1,0,0,1,1,2,-72425,-358567,SPRF-PB,DEL02-PB,UOP01-DEL02-PB
588512,20/03/2024,quarta-feira,30/12/1899,PB,101,126,CAAPORA,Ausência de reação do condutor,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Em Obras;Reta,Não,2,0,1,0,0,1,1,2,-748484909,-3498096868,SPRF-PB,DEL01-PB,UOP02-DEL01-PB
588956,24/01/2024,quarta-feira,30/12/1899,PB,230,"115,3",INGA,Ausência de reação do condutor,Colisão com objeto,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Dupla,Curva,Não,2,0,1,0,0,1,1,2,-72296,-355998,SPRF-PB,DEL01-PB,UOP03-DEL01-PB
589078,22/03/2024,sexta-feira,30/12/1899,PB,427,"35,3",POMBAL,Velocidade Incompatível,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,3,0,1,1,0,1,2,2,-675903094,-37772584,SPRF-PB,DEL03-PB,UOP02-DEL03-PB
589620,25/03/2024,segunda-feira,30/12/1899,PB,230,22,JOAO PESSOA,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,3,0,0,1,2,0,1,3,-71495,-348517,SPRF-PB,DEL01-PB,UOP01-DEL01-PB
589674,25/03/2024,segunda-feira,30/12/1899,PB,230,286,SANTA LUZIA,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,5,0,0,0,4,4,0,7,-68978,-368794,SPRF-PB,DEL03-PB,UOP01-DEL03-PB
590045,27/03/2024,quarta-feira,30/12/1899,PB,101,"34,7",MAMANGUAPE,Condutor Dormindo,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Dupla,Reta,Não,2,0,1,0,0,2,1,3,-678533891,-3513428131,SPRF-PB,DEL01-PB,UOP04-DEL01-PB
590093,27/03/2024,quarta-feira,30/12/1899,PB,230,125,RIACHAO DO BACAMARTE,Velocidade Incompatível,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Curva;Declive,Não,2,0,1,1,0,0,2,1,-72498,-356827,SPRF-PB,DEL02-PB,UOP01-DEL02-PB
590288,28/03/2024,quinta-feira,30/12/1899,PB,230,24,JOAO PESSOA,Desvio temporário,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Dupla,Em Obras;Declive;Curva;Desvio Temporário,Sim,5,0,3,1,1,0,4,2,-716800766,-3486428378,SPRF-PB,DEL01-PB,UOP01-DEL01-PB
590375,28/03/2024,quinta-feira,30/12/1899,PB,230,333,PATOS,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Simples,Curva;Declive,Sim,3,0,0,0,1,2,0,3,-7014583,-372623,SPRF-PB,DEL03-PB,UOP01-DEL03-PB
590509,29/03/2024,sexta-feira,30/12/1899,PB,101,"58,6",SANTA RITA,Ausência de reação do condutor,Colisão traseira,Com Vítimas Fatais,Pleno dia,Decrescente,Nublado,Dupla,Reta,Não,4,1,0,0,1,2,0,4,-698564991,-3507334684,SPRF-PB,DEL01-PB,UOP04-DEL01-PB
590512,29/03/2024,sexta-feira,30/12/1899,PB,101,"96,2",CONDE,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Fatais,Pleno dia,Decrescente,Chuva,Dupla,Retorno Regulamentado;Reta,Não,6,2,1,2,1,0,3,2,-723846306,-349268519,SPRF-PB,DEL01-PB,UOP02-DEL01-PB
590965,31/03/2024,domingo,30/12/1899,PB,116,9,CACHOEIRA DOS INDIOS,Demais falhas na via,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Simples,Declive;Curva,Não,2,0,1,0,0,1,1,2,-6970903,-38734009,SPRF-CE,DEL05-CE,UOP03-DEL05-CE
591184,01/04/2024,segunda-feira,30/12/1899,PB,361,"0,3",PATOS,Reação tardia ou ineficiente do condutor,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Sol,Simples,Reta,Sim,2,0,0,0,2,0,0,2,-70185995,-3726078,SPRF-PB,DEL03-PB,UOP01-DEL03-PB
591255,01/04/2024,segunda-feira,30/12/1899,PB,101,116,CAAPORA,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Dupla,Curva;Declive,Não,2,0,1,0,0,3,1,4,-7405261,-3495492,SPRF-PB,DEL01-PB,UOP02-DEL01-PB
591446,02/04/2024,terça-feira,30/12/1899,PB,104,140,QUEIMADAS,Conversão proibida,Colisão traseira,Com Vítimas Feridas,Anoitecer,Crescente,Céu Claro,Simples,Reta,Sim,2,0,0,1,1,0,1,2,-737817097,-3589737088,SPRF-PB,DEL02-PB,UOP03-DEL02-PB
591510,03/04/2024,quarta-feira,30/12/1899,PB,230,"112,2",INGA,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Dupla,Aclive;Curva,Não,2,0,0,0,2,0,0,2,-721671243,-3559488773,SPRF-PB,DEL01-PB,UOP03-DEL01-PB
591577,03/04/2024,quarta-feira,30/12/1899,PB,101,90,JOAO PESSOA,Acesso irregular,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Retorno Regulamentado,Sim,3,0,1,1,1,0,2,2,-7179652,-34900417,SPRF-PB,DEL01-PB,UOP02-DEL01-PB
